app_id,title,release_date,developer,publisher,genres,positive_ratings,negative_ratings,price
514500,Atomic Society,2018-10-15,Far Road Games,Far Road Games,Simulation;Strategy;Early Access,185,62,11.99
679780,Lemuria: Lost in Space - VR Edition,2017-08-04,EJRGames,EJRGames,Action;Adventure;Indie;RPG,0,4,10.99
916050,Clocker 铸时匠,2019-02-14,Wild Kid Games,indienova,Adventure;Indie;RPG,100,5,9.29
723790,The Pirate: Plague of the Dead,2017-10-13,Home Net Games,Home Net Games,Action;Adventure;Free to Play;Indie;Simulation;Strategy,225,89,0.0
359340,Pixel Puzzles Mosaics,2017-06-09,DL Softworks,DL Softworks,Casual;Indie;Simulation;Sports;Strategy,18,3,6.99
463320,The Sea Eternal,2016-04-22,Choice of Games,Choice of Games,Adventure;Indie;RPG,10,14,2.89
307340,Platypus,2014-08-15,Idigicon,KISS ltd,Action,280,28,4.99
219780,Divinity II: Developer's Cut,2012-10-29,Larian Studios,Larian Studios;Focus Home Interactive,RPG,2001,441,14.99
541160,MC Lars: The Video Game,2016-10-14,"Synersteel Studio, LLC","Synersteel Studio, LLC",Action;Indie,10,2,3.99
739050,Deck Casters,2018-01-10,Rock Nano Global,Rock Nano Global,Indie;Strategy,109,8,12.39
914290,Welcome to Princeland,2018-11-09,Eren Aydin;Serhat Yucekaya,Eren Aydin,Action;Adventure;Casual,73,11,3.99
500440,Take the Cake,2017-11-28,Ebenit,Ebenit,Action;Adventure;Indie,7,3,3.99
495580,Divided We Fall: Play For Free,2017-10-02,KAVA Game Studio,KAVA Game Studio,Action;Free to Play;Indie;Strategy,89,76,0.0
259320,Heli Heroes,2013-11-01,Reality Pump,Topware Interactive,Action;Casual,146,174,3.99
454180,CrazyCars3D,2016-06-14,Anea_Duo_Dev,Anea_Duo_Dev,Action;Adventure;Casual;Indie;Racing;Simulation,134,69,1.99
574070,Space Wars: Interstellar Empires,2017-12-08,Desert Owl Games LLC,ToHeroes Game Studios LLC,Free to Play;Massively Multiplayer;Strategy;Early Access,116,61,0.0
1043020,Dust On Wheels,2019-03-19,SelenaJ,SelenaJ,Action;Racing,0,1,1.69
588230,Beckett,2018-02-27,The Secret Experiment,The Secret Experiment,Adventure;Indie,40,0,7.19
271550,Tribloos 2,2014-01-30,BumpkinBrothers,BumpkinBrothers,Casual;Indie;Strategy,219,46,3.99
894900,Speedy Girls - Dream Team,2018-09-27,Night Dreams Studio,Night Dreams Studio,Indie,6,17,3.99
956000,Su Hack,2018-11-02,Eric L.,EL TECH,Indie;Massively Multiplayer;Simulation;Strategy;Early Access,3,1,3.99
338080,A列車で行こう8,2015-01-08,ARTDINK,Degica,Simulation,4,2,29.99
776540,aMAZE Untouchable,2018-01-11,Blender Games,Blender Games,Casual;Indie,24,5,0.79
348540,Divine Slice of Life,2015-10-22,NickySwan,Dharker Studio,Adventure;Casual;Indie,182,79,7.19
712380,Temple Escape,2017-09-26,For Kids,For Kids,Casual;Indie,34,6,1.69
347710,Perils of Man,2015-04-28,IF Games;Vertigo Games,Vertigo Games,Adventure;Indie,125,31,6.99
241620,Inquisitor,2013-08-01,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",Violent;Gore;Indie;RPG,330,164,6.99
771690,Fimbul,2019-02-28,Zaxis,Wild River Games,Action;Adventure;Indie,14,7,14.99
320400,Magnifico,2014-12-02,Mixel,Slitherine Ltd. ,Casual;Strategy,64,47,3.99
12500,PuzzleQuest: Challenge of the Warlords,2008-01-29,Infinite Interactive,"D3Publisher of America, Inc.",Casual,561,80,6.99
232970,Thunder Wolves,2013-05-15,Most Wanted Entertainment,HandyGames,Action;Casual;Indie,377,61,7.99
571500,Magic Hour,2016-12-20,Wolf In Motion Ltd,Wolf In Motion Ltd,Adventure;Simulation;Early Access,4,0,0.0
564420,Santa's Special Delivery,2016-12-11,Drunk Robot Games;Effinvance,Cerulean Games,Violent;Gore;Action;Indie,9,1,1.99
746050,MORE SWEATER? OK! (Standalone),2017-12-29,Triple-Star Studio,Rock Path Collective,Action;Casual;Indie;RPG;Simulation,4,0,1.69
528820,Eisenwald: Blood of November,2016-11-01,Aterdux Entertainment,Aterdux Entertainment,Adventure;Indie;RPG;Strategy,69,56,5.99
630310,The Mummy Demastered,2017-10-24,WayForward,WayForward,Action;Adventure,178,44,15.49
661560,Audioship,2017-07-25,Insanity Interactive,Insanity Interactive,Indie,1,2,2.09
534460,Let Hawaii Happen VR,2016-10-22,Framestore VR Studio,Framestore VR Studio,Simulation,14,11,0.0
495350,Woodle Tree 2: Worlds,2016-09-16,Fabio Ferrara,Chubby Pixel,Action;Adventure;Massively Multiplayer,179,69,2.79
938870,Chronon,2018-10-02,HronosGame,HronosGame,Adventure;Indie,1,1,8.29
445840,Undead vs Plants,2016-02-25,Peaksel D.O.O. Nis,Peaksel D.O.O. Nis,Action;Adventure;Casual;Indie,15,27,4.99
964210,Mr Husky,2019-01-10,Heero,SakuraGame,Action;Adventure;Casual;Indie;Simulation;Early Access,22,2,1.69
358000,The Curse of Nordic Cove,2015-04-23,On The Level Game Studios,On The Level Game Studios,Action;Adventure;Indie,15,13,0.79
511690,Duck Force,2016-11-17,Andreas Aust,Andreas Aust,Action;Adventure;Casual;Indie;Simulation,8,1,6.99
663370,The Zwuggels - A Beach Holiday Adventure for Kids,2017-07-20,Ploosh GmbH,Ploosh GmbH,Adventure;Casual;Indie,33,1,2.39
418120,Cally's Caves 3,2016-01-05,VDO Games,VDO Games,Action;Adventure;Indie;RPG,349,77,5.99
673570,Squadron: Sky Guardians,2017-07-14,RSK Entertainment,Strategy First,Action;Indie;Simulation,1,4,4.79
857240,The Prison Experiment: Battle Royale,2018-06-01,Aerolab Studios LTD,Aerolab Studios LTD,Violent;Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access,33,56,2.09
804900,Cat's Bar,2018-03-11,橘喵喵,橘喵喵,Casual;Indie;Strategy,22,11,1.69
666730,This Merchant Life,2017-08-03,Inexplicable Games,Inexplicable Games,Indie;RPG;Strategy;Early Access,25,9,5.99
300630,Pure Chess Grandmaster Edition,2016-09-09,Ripstone,Ripstone,Casual;Indie;Simulation;Sports;Strategy,66,32,11.99
743340,Tanks Meet Zombies,2018-02-14,Titan Forged Games,Titan Forged Games,Action;Casual,4,1,8.99
784150,Workers & Resources: Soviet Republic,2019-03-15,3Division,3Division,Indie;Simulation;Strategy;Early Access,1369,311,19.99
217690,Anna - Extended Edition,2013-04-12,Dreampainters,Kalypso Media Digital,Adventure;Indie,878,489,7.99
