id,developer
1000645,Nihon Bussan
1000646,"Acorn Software Products, Inc."
1000647,"SSI (Strategic Simulations, Inc.)"
1000648,Computersmiths
1000649,All American Adventures
1000649,On-Line Systems
1000650,Activision
1000651,Magnavox
1000652,Polyvox
1000652,Atari
1000653,Nintendo
1000654,Muse Software
1000655,"Automated Simulations, Inc."
1000655,Epyx
1000657,Taito
1000657,Taito Corporation
1000658,Radofin Electronics
1000659,Atari
1000659,"Atari, Inc."
1000660,Chameleon Software
1000660,Adventure International
1000661,Sierra On-Line
1000662,Crystalware
1000663,Crystalware
1000665,Frank Corr JR
1000665,Med Systems Software
1000666,Tecno Soft
1000667,Magnavox
1000667,N.V. Philips Gloeilampenfabrieken
1000668,Robert G. Kilgus
1000668,Tandy
1000669,Texas Instruments Incorporated
1000670,Sirius Software
1000671,Sir-tech Software
1000672,"4D Interactive Systems, Inc."
1000672,The Avalon Hill Game Company
1000673,Polyvox
1000673,Atari
1000674,Taito
1000674,Taito Corporation
1000676,Atari
1000676,Polyvox
1000677,Activision
1000678,Hoei International Inc.
1000680,IBM
1000680,On-Line Systems
1000681,"Atari, Inc."
1000681,Sears
1000682,Atari
1000683,"SSI (Strategic Simulations, Inc.)"
1000684,Mastertronic
1000684,Artificial Intelligence Design
1000685,All American Adventures
1000685,On-Line Systems
1000686,Data East Corporation
1000687,Magnavox
1000688,Atari
1000688,"Atari, Inc."
1000689,Nintendo
1000690,Robert Lafore
1000690,Adventure International
1000691,Kiya Overseas Industry
1000691,"Microcomputer Games, Inc."
1000692,Kiya Overseas Industry
1000692,"Microcomputer Games, Inc."
1000693,Game Plan
1000693,Centuri
1000694,Atari
1000694,Polyvox
1000695,"SSI (Strategic Simulations, Inc.)"
1000696,Aim Software
1000697,Highlands Computer Services
1000698,Tigervision
1000698,Taito
1000699,Computersmiths
1000700,Tandy Corporation
1000701,Activision
1000702,Game Plan
1000702,Centuri
1000703,Radofin Electronics
1000704,Creative Computing Software
1000705,Adventure International
1000705,Tynesoft
1000706,Midway Manufacturing
1000706,Game-A-Tron
1000707,Frank Corr JR
1000707,Med Systems Software
1000709,Adventure International
1000710,Konami
1000710,Stern Electronics
1000711,Philips
1000714,Nintendo
1000715,Comsoft
1000717,Konami
1000719,N.V. Philips Gloeilampenfabrieken
1000720,Data East Corporation
1000724,Artic
1000724,Konami
1000725,Konami
1000726,Konami
1000726,Sega
1000727,Namco
1000727,Midway
1000729,N.V. Philips Gloeilampenfabrieken
1000730,Sun Electronics
1000730,Gifu Tokki
1000731,Nintendo
1000732,Polyvox
1000732,Williams Electronics
1000733,Quicksilva Ltd.
1000733,Gremlin Industries
1000734,Atari Corporation
1000734,Atari
1000735,Game-A-Tron
1000736,Centuri
1000736,Tehkan
1000737,Atari
1000737,Polyvox
1000738,Mattel Electronics
1000739,Nintendo
1000740,Digiplay
1000740,Mattel Electronics
1000741,California Pacific Computer
1000741,Origin Systems
1000742,Irem
1000743,Stern
1000745,Taito Corporation
1000747,UA Limited
1000747,Tehkan
1000748,SoftSide Publications
1000749,Taito Corporation
1000750,Sigma Enterprises
1000753,Irem
1000755,Nidecom Soft
1000755,Taito Corporation
1000756,Atarisoft
1000756,"Atari, Inc."
1000757,Sega
1000757,Konami
1000758,Konami
1000758,Sega
1000759,Atarisoft
1000759,"Atari, Inc."
1000760,Hoei
1000760,Sega
1000761,Nintendo
1000762,Digiplay
1000762,Data East
1000763,Polyvox
1000763,Tose
1000764,Ikegami Tsushinki
1000764,Atari Corporation
1000765,Nintendo
1000766,Epoch
1000767,Epoch
1000768,Epoch
1000769,Mattel Electronics
1000770,Konami
1000770,Parker Brothers
1000771,Stern Electronics
1000771,Konami
1000772,Dave Nutting Associates
1000772,"Astrovision, Inc."
1000773,Atari Program Exchange
1000774,Nintendo
1000775,Level-10
1000776,"Astrovision, Inc."
1000776,Bally Manufacturing
1000777,Namco
1000777,Rock-Ola Manufacturing Corporation
1000778,Bandai
1000778,Sir-tech Software
1000779,Muse Software
1000779,Main Street Publishing
1000780,Midway
1000780,Namco Limited
1000781,"Astrovision, Inc."
1000781,Dave Nutting Associates
1000782,Nintendo
1000783,On-Line Systems
1000784,Atari
1000784,Taito
1000785,Centuri
1000785,Taito
1000786,"Sega Enterprises, Ltd."
1000786,"Sega Enterprises, Inc."
1000787,Atari Corporation
